type,count,avg_loc,std_loc
md,70,48.07142857142857,51.712505545696246
txt,13,38.30769230769231,47.25707110296584
go,23,101.17391304347827,87.2241898130189
sum,3,147.66666666666666,144.29252694901885
mod,4,13,1.4142135623730951
html,18,31.72222222222222,21.66266931451582
sbt,17,85.70588235294117,186.58837206062788
scala,124,61.596774193548384,74.51599046538955
conf,9,43.77777777777778,30.73181485764296
prefs,17,5.117647058823529,3.4799847869850034
xml,31,44.83870967741935,49.09928497387957
sh,32,19.75,13.614508390304712
json,59,684.6101694915254,2751.0432066258763
java,80,79.675,61.80548806077321
yaml,70,70.6,121.39448212276812
py,43,44.116279069767444,40.61972855312784
dot,2,19,1.4142135623730951
awk,1,20,0
sql,6,34.666666666666664,28.689138478990035
csv,7,67.42857142857143,57.314504106311354
r,3,26,15.716233645501712
ipynb,3,333.3333333333333,179.04841058588968
sln,2,25,0.0
cs,39,27.153846153846153,27.603907486115514
cache,13,19.615384615384617,47.190285832182425
props,8,8.75,10.700467279516348
yml,5,68,43.39930875025546
log,7,178,422.7087255624926
kts,2,28,38.18376618407357
bat,3,61.666666666666664,50.816663933530045
kt,18,56.55555555555556,47.859134259053874
bin,1,1,0
clj,58,45.810344827586206,54.34440428482026
ini,2,15,7.0710678118654755
cfg,2,6.5,2.1213203435596424
js,36,47.416666666666664,37.626263623773674
tf,11,31.363636363636363,20.377795402215263
hcl,2,85.5,92.63098833543772
ts,69,44.63768115942029,51.46928581959535
acl,1,89,0
qry,1,6,0
cto,1,31,0
svg,1,3038,0
tsx,11,77.63636363636364,81.80742353512025
scss,15,16.733333333333334,22.5656713573854
lock,1,350,0
iml,2,23.5,7.7781745930520225
dart,24,45.5,30.364452901377952
plist,4,21.75,17.67059704707229
m,1,14,0
swift,1,13,0
h,2,10,12.727922061357855
