"timestamp","rpm_participant","rpm_friends","rpm_outbound"
"Mon Jan 15 2024 13:45:00 GMT-0800 (Pacific Standard Time)","1850","1274","18109"
"Mon Jan 15 2024 13:46:00 GMT-0800 (Pacific Standard Time)","3140","2110","21023"
"Mon Jan 15 2024 13:47:00 GMT-0800 (Pacific Standard Time)","3115","2115","17455"
"Mon Jan 15 2024 13:48:00 GMT-0800 (Pacific Standard Time)","3115","2066","15168"
"Mon Jan 15 2024 13:49:00 GMT-0800 (Pacific Standard Time)","3160","2123","13976"
"Mon Jan 15 2024 13:50:00 GMT-0800 (Pacific Standard Time)","3150","2124","12909"
"Mon Jan 15 2024 13:51:00 GMT-0800 (Pacific Standard Time)","3090","2136","12148"
"Mon Jan 15 2024 13:52:00 GMT-0800 (Pacific Standard Time)","3060","2081","11355"
"Mon Jan 15 2024 13:53:00 GMT-0800 (Pacific Standard Time)","3050","2086","10723"
"Mon Jan 15 2024 13:54:00 GMT-0800 (Pacific Standard Time)","2900","1971","8456"
"Mon Jan 15 2024 13:55:00 GMT-0800 (Pacific Standard Time)","2780","1887","7146"
"Mon Jan 15 2024 13:56:00 GMT-0800 (Pacific Standard Time)","2858","1910","7083"
"Mon Jan 15 2024 13:57:00 GMT-0800 (Pacific Standard Time)","2895","1971","7300"
"Mon Jan 15 2024 13:58:00 GMT-0800 (Pacific Standard Time)","2977","2006","7340"
"Mon Jan 15 2024 13:59:00 GMT-0800 (Pacific Standard Time)","3020","2008","7550"
"Mon Jan 15 2024 14:00:00 GMT-0800 (Pacific Standard Time)","3029","2063","7600"
"Mon Jan 15 2024 14:01:00 GMT-0800 (Pacific Standard Time)","3011","1984","7460"
"Mon Jan 15 2024 14:02:00 GMT-0800 (Pacific Standard Time)","3000","2028","7450"
"Mon Jan 15 2024 14:03:00 GMT-0800 (Pacific Standard Time)","3000","2033","7539"
"Mon Jan 15 2024 14:04:00 GMT-0800 (Pacific Standard Time)","2963","2000","7401"
"Mon Jan 15 2024 14:05:00 GMT-0800 (Pacific Standard Time)","2960","1971","7340"
"Mon Jan 15 2024 14:06:00 GMT-0800 (Pacific Standard Time)","3027","2053","7632"
"Mon Jan 15 2024 14:07:00 GMT-0800 (Pacific Standard Time)","3059","2077","7738"
"Mon Jan 15 2024 14:08:00 GMT-0800 (Pacific Standard Time)","3071","2054","7620"
"Mon Jan 15 2024 14:09:00 GMT-0800 (Pacific Standard Time)","3040","2075","7680"
"Mon Jan 15 2024 14:10:00 GMT-0800 (Pacific Standard Time)","3080","2088","7737"
"Mon Jan 15 2024 14:11:00 GMT-0800 (Pacific Standard Time)","3100","2087","7763"
"Mon Jan 15 2024 14:12:00 GMT-0800 (Pacific Standard Time)","3090","2103","7720"
"Mon Jan 15 2024 14:13:00 GMT-0800 (Pacific Standard Time)","3080","2050","7637"
"Mon Jan 15 2024 14:14:00 GMT-0800 (Pacific Standard Time)","3020","2074","7655"
"Mon Jan 15 2024 14:15:00 GMT-0800 (Pacific Standard Time)","3121","2053","7668"
"Mon Jan 15 2024 14:16:00 GMT-0800 (Pacific Standard Time)","3016","2015","7500"
